id,conversation_id,customer_message,intent,escalate,escalation_reason,historical_agent_reply,label_source
26,conv_119524_119523,@AppleSupport is the Animal Crossing game on the Mac App Store?,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Hey there! Thanks for asking; we'd love to help with this! Animal Crossing is available for iOS devices running iOS 9 or later. It's not currently available for Mac computers.,manual_review_verified
27,conv_82011_82009,@AppleSupport imma need y’all to fix this “I.T” thing . cause i’m about tired . keyboard shortcut trick doesn’t work 🤷🏽‍♀️,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer That is certainly not the experience we want you to have. Which iOS version is your device running? [LINK],manual_review_verified
28,conv_22991_22989,"More @customer My iPhone X makes a sounds when gently pressed on opposed corners, was told it was software (Apple Store), this isn't software, Please help!",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.","@customer Hello. We'd love to help with your concern, but we would need to gather some details on your description of the concern. Could you send us a DM and let us know the iOS version installed? Also, did it seem like this since first using the iPhone X? [LINK]",manual_review_verified
29,conv_27331_27329,@AppleSupport force touch for app multitask gone in iOS11 ?,hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer That feature isn’t a part of iOS 11. We always enjoy hearing feedback. Please submit yours here: [LINK],manual_review_verified
30,conv_102355_102354,"@AppleSupport MacBook won’t turn on...gives me this screen, I need my serial number to call Apple support, won’t turn on....HELP [LINK]",hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer No worries. Help has arrived. We have a few questions that will help us get to the bottom of this. How were you using your Mac just before this occurred? Have you added new external hardware or accessories? Send us a DM. [LINK],manual_review_verified
31,conv_46590_46592,@AppleSupport Yes on the lock screen,hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer We're here to help. DM us so we can look into this further with you. [LINK],manual_review_verified
32,conv_53588_53587,"@AppleSupport Also, why do my AirPods suddenly stop playing music after being connected for awhile?",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,"@customer We'd love to help. Has the device been restarted? If not, let's do that using these steps: [LINK]",manual_review_verified
33,conv_48021_48019,@AppleSupport still on 11.0.3 need back home to upgrade to 11.1 and hope battery life fixed,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer Thank you for letting us know! After updating, if the battery hasn't improved after 48 hours, please let us know.",manual_review_verified
34,conv_90990_90989,"@AppleSupport hello, my iPhone 7 keeps crashing? Help",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer We're here to help you. Let's follow the steps in this article: [LINK] Before updating we recommend creating a backup of your device. If you continue to have issues DM us and we'll look into things a bit closer there. [LINK],manual_review_verified
35,conv_33390_33392,@AppleSupport iOS 11.1,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Let's help get this sorted. Please reach out to us via DM and we can go from there together. [LINK],manual_review_verified
36,conv_58808_58807,"@AppleSupport This. Is. Not. Normal. (Been like this since 11.0. On 11.1 now.) Known issue? iPhone 7, BTW. [LINK]",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Thanks for reaching out to us about your battery. Does this also occur when you're not on VPN? Please DM us. [LINK],manual_review_verified
37,conv_167297_167296,@customer @AppleSupport how can u xplain that? 🤧 My MacBookAir & iPhone7+ [LINK],other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer We aren't seeing anything in that screen recording. Could you join us in DM to take a closer look? [LINK],manual_review_verified
38,conv_35273_35275,"@AppleSupport iPhone 8, iOS 11",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Thanks. Please take look under Settings > General > About and let us know the exact iOS version.,manual_review_verified
39,conv_35213_35212,@AppleSupport Hola/Hello! I can use the AirPods witch Bluetooth audio transmisor? Any model? This no... [LINK],connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer You'll find more info on compatibilty with your AIrPods at the following link: [LINK],manual_review_verified
40,conv_84173_84172,"not that anyone contacts me anyways but if you're thinking about it, don't bc my phone is broken!!! don't worry i only wasted my entire night talking to @customer and when i did what they told me to do, my phone turned off and now it won't turn back on:)))",hardware_display_audio,1,Physical hardware damage requires in-person diagnostic inspection at Genius Bar or authorized service provider.,@customer We'd be happy to look into this issue with your iPhone. Please meet us in DM and we'll get to work sorting things out. [LINK],manual_review_verified
41,conv_118045_118044,"FED UP! My iPhone 6+ is useless after the latest major update! Something has got to give or Samsung will have a new customer! Makes me think twice about my: 6-iPhone 6s, 2-Mac Airs, 1-Mac mini, 4-airport extremes and 5-AppleTVs. @customer @AppleSupport",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Thanks for reaching out. We'd like some additional information to assist. Let us know the details of the issues you've been having since the update in a DM and we'll continue. [LINK],manual_review_verified
42,conv_32433_32432,@AppleSupport My iPhone screen glass is completely cracked. Still the touch screen works. Can I change the glass alone or the display too?,hardware_display_audio,1,Physical hardware damage requires in-person diagnostic inspection at Genius Bar or authorized service provider.,@customer We're glad to look into all options with you to have your iPhone serviced. Please DM us to proceed. [LINK],manual_review_verified
43,conv_145199_145198,@customer please update the iPhone X in order to use Face Recognition with and without glasses 👓. Thanks!,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer Face ID is designed to work with glasses and without glasses. Tell us more about what happens when you try to use this feature, and we’ll partner with you.",manual_review_verified
44,conv_154449_154448,@customer any idea why my shortcut bar is overlapping my keyboard? [LINK],app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer We'd be happy to help. Which version of iOS are you running on this iPad? Are you experiencing this issue in a specific app?,manual_review_verified
45,conv_49200_49197,"Unbelievable from @customer, watch screen seems to have popped, perfect laser like crack all around outer of screen. No impact. 6mths old 1/2",hardware_display_audio,1,Physical hardware damage requires in-person diagnostic inspection at Genius Bar or authorized service provider.,"@customer We're here for you. Send us a DM, and we'll get started there. [LINK]",manual_review_verified
46,conv_66864_66863,So I’ve been having problems with my battery dying real quick of late and then last night I updated my phone and then today a whole charge lasted me the whole day with the same useage as before before it would take 3-4 full chargers hmmm @customer 🤔🤔,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer That’s not the experience we’d like you to have with your iPhone. To confirm, are you still experiencing battery issues with your iPhone? DM us. [LINK]",manual_review_verified
47,conv_145289_145291,"@AppleSupport Team, I tried configuring “Hey Siri” on my iPhone 5s while it was connected to power. It still doesn’t recognise my voice when I call out “Hey Siri” during the setup. Please help.",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,"@customer Hey there, we understand you're having the same problem with Siri. We'd like to help you more with this. DM us and let us know what country you live in next. [LINK]",manual_review_verified
48,conv_159547_159546,"Seems like it’s impossible to get an @customer data plan on Apple SIM on iPads — TMF12 error when trying to list data plans, for both embedded and physical Apple SIMs — @AppleSupport say it’s EE and EE say it’s apple. Brilliant.",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer We'd be happy to look into this further with you. DM us any new information your carrier may have provided and we can go from there. [LINK],manual_review_verified
49,conv_152892_152895,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,"@customer We appreciate you testing out Wi-Fi for us. Do you have any app updates available in the App Store > Updates? If so, while connected to Wi-Fi update apps to ensure compatibility.",manual_review_verified
50,conv_63225_63224,I️ just updated my phone again and still can’t text I️ @AppleSupport,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer We can help. What is the current iOS version you have installed? Let us know more in DM, please. [LINK]",manual_review_verified
51,conv_150023_150022,"@AppleSupport issue with my daughters iphone,its asking for apple id and password but shes forgotten the password,icloud has locked her out of her icloud account,when she tries to reset the password it will only send an email to icloud which cant be accessed can you help please",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer Hi there. Check out this article for information about other ways to regain access to her account: [LINK] Please DM if you have any questions. [LINK],manual_review_verified
52,conv_9189_9191,"@AppleSupport My screen is lagging, my apps are all glitching, your new screen updates are slowing my processsing speed down. Y’all are killin me fr yo",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.","@customer Is this happening only with certain applications? Meet up with us in a DM, we'll continue there. [LINK]",manual_review_verified
53,conv_35225_35224,@customer @customer I’m also having issues with my iPad. The battery has suddenly decided to lose 75% from a full charge,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer We'd like to assist you with your iPad too. Join us in DM at the link below to get started. [LINK],manual_review_verified
54,conv_167279_167278,@AppleSupport I had subscribed for apple music free trial version for 3 months and the very next day it charges me 3 something dollars. What's the point of 3 months free subscription here?,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Thank you for getting in contact with us. Please reach out to the iTunes Store team to investigate this charge further. Use this link to get in contact: [LINK],manual_review_verified
55,conv_81982_81981,@AppleSupport What is 'profile' and 'Secure' in iCloud? [LINK],account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer Let's find out. Send us a DM with your software version to get started. [LINK],manual_review_verified
56,conv_159573_159572,"@AppleSupport Having severe battery drain on ios 11.1.2 since update with iPhone 6s Plus. Also i see this keeps popping up for other users, any fix yet.",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Thanks for reaching out to us here. We want to help. Send us a DM letting us know which country you are located in to get started. [LINK],manual_review_verified
57,conv_146794_146793,One of my #Apple #iPhone is unable to connect to #WiFi even with the correct WEP Key.Any Helpful Tips? @customer #World #Entrepreneur #Tech,connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer We're glad you were able to get connected to your Wi-Fi. If you need anything in the future we're available 5am-8pm Pacific.,manual_review_verified
58,conv_155969_155967,"@AppleSupport Feels like I've gone back in time since the most recent update my iPhone 7 Plus has gone back to being slow, unresponsive, crashing apps, notifications coming through late. Can you sort it out please 🙏🏾",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer That’s not the experience we’d like you to have. Can you start by letting us know more about the apps that hang up or crash most.,manual_review_verified
59,conv_126391_126389,@AppleSupport Could you please fix iOS 11? I couldn’t even get through the Macy’s Parade today on a full #battery. I just wanted to take some pictures and videos.,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer We know power is important for these special moments. Can you let us know the device model and full OS version installed? We'll take a look.,manual_review_verified
60,conv_164214_164213,"I have an iPhone 6+ and after installing the IOS upgrade, my phone's touchscreen is unresponsive. I'm repeatedly hard shutting it down and restarting. Plus I did a complete hard wipe and reinstall and issue remais. I have plenty of storage too. Help @AppleSupport please.",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer Thanks for reaching out to us for support. That is certainly not the experience that we wanted you to have with your device, and we are going to do everything we can to help you. When you have a free moment, please DM us so that we can look into this together. [LINK]",manual_review_verified
61,conv_90616_90615,I'm developing a new app. This app can access the photo library but doesn't have any photo library usage permission. Is it a bug? #Apple #appleBug #iosbug #swiftlang #iosapp #iOS11 @customer @AppleSupport @customer [LINK],app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Let's get you in the right place for help. You'll want to reach out for Developer Support here: [LINK],manual_review_verified
62,conv_40541_40540,"@AppleSupport is this normal? When I️ tap that symbol, it defaults to “I️” [LINK]",other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer We’d like to look into this. Which iOS version are you using? Find out in Settings > General > About.,manual_review_verified
63,conv_15433_15432,Anyone else having battery issues in IPhone? Degrading way to fast. @AppleSupport,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer Having a reliable iPhone is important, and we want you to enjoy using it without worrying about battery life. Which iPhone do you have, and what's the iOS version it's currently running? DM us with details here: [LINK]",manual_review_verified
64,conv_44559_44558,@AppleSupport why music app is forcing me to subscribe Apple Music [LINK],app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer We can assist you. Please DM us via the following link with your device model and current iOS version. [LINK],manual_review_verified
65,conv_25270_25269,my phone died and the little connect charger sign came up and when i got it turned back on it said my battery was half full that’s so cute @customer,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer We'd be happy to look into why your iPhone turned off and showed that symbol when it still had battery. Which iPhone and iOS version are you using? You can go to Settings > General > About > Version to find the version.,manual_review_verified
66,conv_44626_44624,@AppleSupport help I logged out of my Apple ID account and the verification code is sent to a broken phone????,account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer We can assist you. You can change a trusted device if you are using two-factor authentication: [LINK],manual_review_verified
67,conv_31441_31440,@AppleSupport can you tell me why my Apple tv4 with screen saver set to never update will suddenly have new a “video” in the aerial views?,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer Thank you for reaching out to us. For help with this, please contact our Apple TV experts here: [LINK]",manual_review_verified
68,conv_35979_38205,@AppleSupport You guys over charged me on music I bought on iTunes and I want my money back I’m mad as hell,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer We want to help. You can reach our iTunes support team here: [LINK],manual_review_verified
69,conv_118105_118104,Left my @customer Watch charger in my hotel room!!! #SoMadWithMyself,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer That's never something we like to hear, but we're glad to help you get a replacement cable. DM us which country you are reaching out to us from, and we'll get you on the right track with a new cable if you're unable to find yours. [LINK]",manual_review_verified
70,conv_95794_95793,@customer @AppleSupport Thanks apple for this shitty update. 💩 My battery is even worse now ... last night I forgot to turn off the automatic update. Today in the morning I was like ... #ios1112 #ios1112fail [LINK],battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer Great battery life from your iPhone is important, and we want to get to the bottom of what's happening here. Could you join us in DM with more info on what you're seeing? [LINK]",manual_review_verified
71,conv_96931_96929,"@customer @AppleSupport why does my iPhone X continue to switch to automatic time zone? I’m gonna be late, bruh.",other_general,0,Standard inquiries are auto-handled with verified official documentation.,"@customer Let’s investigate this together. To clarify, when you switch “Set Automatically”, in the Date & Time setting to the ""off"" position, it switches back on, is that correct?",manual_review_verified
72,conv_125023_125022,"@customer how do I install an agel de operating system, such as, @customer XP on my iPhone 6? Your new update doesn't work.",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer We didn't quite understand what you're asking, but we'd like to help any way we can. What's happening exactly on your iPhone after updating it? Also, is iOS 11.1.2 the version currently installed?",manual_review_verified
73,conv_119479_119478,@AppleSupport I keep getting this error message for about half the songs I try to play on @customer what do I do? Thanks! [LINK],other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer We'll do all we can to help out. Are these songs that were downloaded to the device for offline play or are they added to your iCloud Music Library for streaming? Has there been any change in the iTunes Store region or are you not currently physically in that region?,manual_review_verified
74,conv_118058_118056,"So @customer charges me for my Apple Music membership, but won’t actually allow me to use it. Right 🙃",other_general,0,Standard inquiries are auto-handled with verified official documentation.,"@customer We’d love to help with Apple Music. To start, what behavior do you experience when you try to listen to music with Apple Music?",manual_review_verified
75,conv_84253_84252,@AppleSupport No error message. I have to delete each time and then it can be redownloaded without problems. If you just update them the circle is spinning forever in App Store. Only this few apps.,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer OK. Send us a DM with the version of iOS you're currently running and we'll take a closer look. Find that under Settings > General > About. [LINK],manual_review_verified
76,conv_63455_63457,@AppleSupport 11.0.2 is newest version according to my updated itunes. all apps are updated,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Thanks for that info. The iOS version that we released recently is iOS 11.1.2. Try updating using your iPhone itself and let us know if you're able to update. We also encourage a backup before just in case. Let us know if you still experience that afterwards in DM. [LINK],manual_review_verified
77,conv_50091_50090,RT @customer: Is yall gonna fix ios11 or nah @customer? I’m tired of my shit crashing,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.","@customer We'd like to help, but we need more details to start. What exactly is happening and which model do you have? Any steps tried?",manual_review_verified
78,conv_165773_165772,Anyone having a problem with @customer ios11 or iPhone X where calls made with the keypad do not show in your recent calls list?,other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer We'd like to look into this with you. DM us and we'll work from there. [LINK],manual_review_verified
79,conv_109032_109031,@customer iPhone battery is BS I️m already at 30% and I️ took my phone off the charger at like 9:30???,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer We're happy to look into your battery life further with you today. Which model iPhone do you have, and which version of iOS are you using? When did you begin to notice battery issues?",manual_review_verified
80,conv_103186_103185,"@customer thanks for making my phone backup fucking useless, cant download it back onto my phone because of a shitty ''two-factior verification' with my fucking old number, load a shite",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer We know how important being able to restore from a backup is. DM us a bit more details on what’s happening when you try to restore it, and we’ll work towards a resolution together. [LINK]",manual_review_verified
81,conv_96901_96900,"@AppleSupport Oh, sorry, I didn't saw the necessity of two-factor authentication. Thanks! =)",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer You're welcome. We hope you have a great day.,manual_review_verified
82,conv_36028_36027,@AppleSupport Trying to access iTunes Connect and keep getting this when I click on artists. On two different computers (both IE and Chrome) [LINK],software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We'd want to get you to our Developer Support for assistance: [LINK],manual_review_verified
83,conv_120671_120673,@AppleSupport Well if that don't beat all. Much obliged. A+ customer service. 👍,other_general,0,Standard inquiries are auto-handled with verified official documentation.,"@customer Happy we could help. If there's anything you need in the future, reach out. Take Care.",manual_review_verified
84,conv_84220_84219,"Battery life is jumping down in 4% steps while streaming music via Apple Music over LTE to Bluetooth headphones 😮 That can‘t ne normal, @AppleSupport? [LINK]",battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer Let's see what's going on. Which version of iOS is it happening on? Reply in DM to get started. [LINK],manual_review_verified
85,conv_42598_42597,@customer you wana tell me why my brand new iPhone 8 is lagging already? I already updated to the newest IOS.,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer We can partner with you on this. To be sure we’re on the same page, can you tell us the version of iOS 11 your iPhone is on?",manual_review_verified
86,conv_105356_105354,"@AppleSupport Hi Apple, anything I can do to increase battery life after your software upgrades to my iPhone 6s. I’m truly concerned that I have to charge it fully twice a day just to make it on a daily basis. Thank you!",battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer We know how vital the battery is. Please check out this article: [LINK] DM us the result. [LINK],manual_review_verified
87,conv_71175_71177,@AppleSupport @customer Thanks in advance; ready to work with you.,other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer Go ahead and DM us. We'll continue from there. [LINK],manual_review_verified
88,conv_34707_34709,@AppleSupport there is one from a little while back that would have most of the notes data,connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer Restoring a backup with that data would be the only way to recover that data. You can see how here: [LINK],manual_review_verified
89,conv_55970_55972,@AppleSupport 11.1 which has been causing many glitches on my phone between apps/internet connection & keyboard,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Thanks for that info. Reach out to us in DM and we will happily help to look into this further. [LINK],manual_review_verified
90,conv_82006_82005,Hey @AppleSupport my friend had her iPhone battery explode and you don't seem to care. Poor form! [LINK],battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer Thank you for reaching out to us. Please send us a DM, so we can gather more information about this. [LINK]",manual_review_verified
